txn_id,investor_id,scheme_code,state,city_tier,investor_age,income_bracket,txn_type,amount_inr,txn_date
TXN-000091,INV-00092,121476,Rajasthan,Tier 3,59,25L+,Redemption,42485,2022-05-10
TXN-000092,INV-00093,121599,Kerala,Tier 1,40,12-25L,SIP,46946,2022-05-11
TXN-000093,INV-00094,121722,Punjab,Tier 2,52,25L+,SIP,17392,2022-05-12
TXN-000094,INV-00095,121845,Haryana,Tier 3,36,5-12L,SIP,13852,2022-05-13
TXN-000095,INV-00096,121968,Maharashtra,Tier 1,25,25L+,SIP,41909,2022-05-16
TXN-000096,INV-00097,122091,Karnataka,Tier 2,63,5-12L,Redemption,1661,2022-05-17
TXN-000097,INV-00098,122214,Tamil Nadu,Tier 3,49,12-25L,SIP,26440,2022-05-18
TXN-000098,INV-00099,122337,Delhi,Tier 1,35,12-25L,SIP,6571,2022-05-19
TXN-000099,INV-00100,122460,Gujarat,Tier 2,40,12-25L,Redemption,15717,2022-05-20
TXN-000100,INV-00101,122583,Uttar Pradesh,Tier 3,54,25L+,SIP,26096,2022-05-23
TXN-000101,INV-00102,122706,West Bengal,Tier 1,42,5-12L,SIP,49618,2022-05-24
TXN-000102,INV-00103,122829,Telangana,Tier 2,45,12-25L,Lumpsum,81039,2022-05-25
TXN-000103,INV-00104,122952,Rajasthan,Tier 3,27,25L+,SIP,48043,2022-05-26
TXN-000104,INV-00105,123075,Kerala,Tier 1,48,12-25L,Lumpsum,57628,2022-05-27
TXN-000105,INV-00106,123198,Punjab,Tier 2,53,5-12L,SIP,19903,2022-05-30
TXN-000106,INV-00107,123321,Haryana,Tier 3,50,25L+,Lumpsum,363785,2022-05-31
TXN-000107,INV-00108,123444,Maharashtra,Tier 1,49,12-25L,SIP,42713,2022-06-01
TXN-000108,INV-00109,123567,Karnataka,Tier 2,29,25L+,Lumpsum,469655,2022-06-02
TXN-000109,INV-00110,123690,Tamil Nadu,Tier 3,64,12-25L,SIP,44899,2022-06-03
TXN-000110,INV-00111,123813,Delhi,Tier 1,26,12-25L,Lumpsum,349719,2022-06-06
TXN-000111,INV-00112,123936,Gujarat,Tier 2,57,5-12L,SIP,23678,2022-06-07
TXN-000112,INV-00113,124059,Uttar Pradesh,Tier 3,63,5-12L,SIP,35501,2022-06-08
TXN-000113,INV-00114,124182,West Bengal,Tier 1,30,25L+,SIP,11792,2022-06-09
TXN-000114,INV-00115,124305,Telangana,Tier 2,22,25L+,SIP,32331,2022-06-10
TXN-000115,INV-00116,124428,Rajasthan,Tier 3,40,5-12L,SIP,32213,2022-06-13
TXN-000116,INV-00117,124551,Kerala,Tier 1,39,5-12L,Lumpsum,121150,2022-06-14
TXN-000117,INV-00118,124674,Punjab,Tier 2,28,25L+,SIP,41318,2022-06-15
TXN-000118,INV-00119,124797,Haryana,Tier 3,23,12-25L,Redemption,29922,2022-06-16
TXN-000119,INV-00120,124920,Maharashtra,Tier 1,40,12-25L,SIP,42674,2022-06-17
TXN-000120,INV-00121,120123,Karnataka,Tier 2,50,25L+,Redemption,14163,2022-06-20
TXN-000121,INV-00122,120246,Tamil Nadu,Tier 3,66,12-25L,SIP,3295,2022-06-21
TXN-000122,INV-00123,120369,Delhi,Tier 1,36,5-12L,SIP,49831,2022-06-22
TXN-000123,INV-00124,120492,Gujarat,Tier 2,59,12-25L,SIP,46681,2022-06-23
TXN-000124,INV-00125,120615,Uttar Pradesh,Tier 3,49,25L+,Lumpsum,154531,2022-06-24
TXN-000125,INV-00126,120738,West Bengal,Tier 1,41,5-12L,SIP,49147,2022-06-27
TXN-000126,INV-00127,120861,Telangana,Tier 2,29,5-12L,Lumpsum,416696,2022-06-28
TXN-000127,INV-00128,120984,Rajasthan,Tier 3,27,12-25L,SIP,22338,2022-06-29
TXN-000128,INV-00129,121107,Kerala,Tier 1,26,5-12L,SIP,26186,2022-06-30
TXN-000129,INV-00130,121230,Punjab,Tier 2,45,25L+,Redemption,41126,2022-07-01
TXN-000130,INV-00131,121353,Haryana,Tier 3,65,5-12L,SIP,2281,2022-07-04
TXN-000131,INV-00132,121476,Maharashtra,Tier 1,23,5-12L,Redemption,45516,2022-07-05
TXN-000132,INV-00133,121599,Karnataka,Tier 2,39,5-12L,SIP,34238,2022-07-06
TXN-000133,INV-00134,121722,Tamil Nadu,Tier 3,59,5-12L,SIP,46306,2022-07-07
TXN-000134,INV-00135,121845,Delhi,Tier 1,64,12-25L,SIP,18528,2022-07-08
TXN-000135,INV-00136,121968,Gujarat,Tier 2,62,12-25L,Lumpsum,36800,2022-07-11
TXN-000136,INV-00137,122091,Uttar Pradesh,Tier 3,48,25L+,SIP,4933,2022-07-12
TXN-000137,INV-00138,122214,West Bengal,Tier 1,41,12-25L,SIP,18259,2022-07-13
TXN-000138,INV-00139,122337,Telangana,Tier 2,35,12-25L,Lumpsum,200165,2022-07-14
TXN-000139,INV-00140,122460,Rajasthan,Tier 3,35,5-12L,Lumpsum,358110,2022-07-15
TXN-000140,INV-00141,122583,Kerala,Tier 1,65,5-12L,Lumpsum,300755,2022-07-18
TXN-000141,INV-00142,122706,Punjab,Tier 2,49,5-12L,SIP,33922,2022-07-19
TXN-000142,INV-00143,122829,Haryana,Tier 3,60,12-25L,SIP,41126,2022-07-20
TXN-000143,INV-00144,122952,Maharashtra,Tier 1,50,25L+,SIP,38971,2022-07-21
TXN-000144,INV-00145,123075,Karnataka,Tier 2,42,25L+,Redemption,26994,2022-07-22
TXN-000145,INV-00146,123198,Tamil Nadu,Tier 3,45,25L+,SIP,41656,2022-07-25
TXN-000146,INV-00147,123321,Delhi,Tier 1,57,25L+,SIP,5921,2022-07-26
TXN-000147,INV-00148,123444,Gujarat,Tier 2,60,12-25L,SIP,9891,2022-07-27
TXN-000148,INV-00149,123567,Uttar Pradesh,Tier 3,35,5-12L,SIP,21927,2022-07-28
TXN-000149,INV-00150,123690,West Bengal,Tier 1,48,5-12L,SIP,44377,2022-07-29
TXN-000150,INV-00151,123813,Telangana,Tier 2,55,12-25L,Redemption,35321,2022-08-01
TXN-000151,INV-00152,123936,Rajasthan,Tier 3,30,25L+,SIP,4729,2022-08-02
TXN-000152,INV-00153,124059,Kerala,Tier 1,30,12-25L,Lumpsum,94314,2022-08-03
TXN-000153,INV-00154,124182,Punjab,Tier 2,28,5-12L,SIP,23963,2022-08-04
TXN-000154,INV-00155,124305,Haryana,Tier 3,34,5-12L,Lumpsum,305454,2022-08-05
TXN-000155,INV-00156,124428,Maharashtra,Tier 1,25,5-12L,Lumpsum,480204,2022-08-08
TXN-000156,INV-00157,124551,Karnataka,Tier 2,39,25L+,SIP,9553,2022-08-09
TXN-000157,INV-00158,124674,Tamil Nadu,Tier 3,33,5-12L,SIP,2158,2022-08-10
TXN-000158,INV-00159,124797,Delhi,Tier 1,25,5-12L,SIP,31392,2022-08-11
TXN-000159,INV-00160,124920,Gujarat,Tier 2,32,5-12L,SIP,21142,2022-08-12
TXN-000160,INV-00161,120123,Uttar Pradesh,Tier 3,59,12-25L,SIP,29547,2022-08-15
TXN-000161,INV-00162,120246,West Bengal,Tier 1,40,12-25L,Lumpsum,155696,2022-08-16
TXN-000162,INV-00163,120369,Telangana,Tier 2,34,12-25L,SIP,12867,2022-08-17
TXN-000163,INV-00164,120492,Rajasthan,Tier 3,41,5-12L,SIP,16945,2022-08-18
TXN-000164,INV-00165,120615,Kerala,Tier 1,33,12-25L,SIP,25915,2022-08-19
TXN-000165,INV-00166,120738,Punjab,Tier 2,24,25L+,SIP,29857,2022-08-22
TXN-000166,INV-00167,120861,Haryana,Tier 3,32,5-12L,SIP,36324,2022-08-23
TXN-000167,INV-00168,120984,Maharashtra,Tier 1,48,12-25L,SIP,19750,2022-08-24
TXN-000168,INV-00169,121107,Karnataka,Tier 2,30,5-12L,SIP,40993,2022-08-25
TXN-000169,INV-00170,121230,Tamil Nadu,Tier 3,33,5-12L,SIP,13529,2022-08-26
TXN-000170,INV-00171,121353,Delhi,Tier 1,35,12-25L,Redemption,37370,2022-08-29
TXN-000171,INV-00172,121476,Gujarat,Tier 2,53,12-25L,SIP,15167,2022-08-30
TXN-000172,INV-00173,121599,Uttar Pradesh,Tier 3,44,25L+,SIP,34117,2022-08-31
TXN-000173,INV-00174,121722,West Bengal,Tier 1,23,12-25L,Lumpsum,157595,2022-09-01
TXN-000174,INV-00175,121845,Telangana,Tier 2,65,5-12L,SIP,11750,2022-09-02
TXN-000175,INV-00176,121968,Rajasthan,Tier 3,40,25L+,Lumpsum,341842,2022-09-05
TXN-000176,INV-00177,122091,Kerala,Tier 1,44,12-25L,SIP,7163,2022-09-06
TXN-000177,INV-00178,122214,Punjab,Tier 2,45,5-12L,SIP,23743,2022-09-07
TXN-000178,INV-00179,122337,Haryana,Tier 3,25,12-25L,SIP,13917,2022-09-08
TXN-000179,INV-00180,122460,Maharashtra,Tier 1,65,25L+,Lumpsum,358458,2022-09-09
TXN-000180,INV-00181,122583,Karnataka,Tier 2,62,12-25L,SIP,30030,2022-09-12
TXN-000181,INV-00182,122706,Tamil Nadu,Tier 3,37,12-25L,SIP,8558,2022-09-13
TXN-000182,INV-00183,122829,Delhi,Tier 1,59,5-12L,SIP,45225,2022-09-14
TXN-000183,INV-00184,122952,Gujarat,Tier 2,42,5-12L,SIP,45884,2022-09-15
TXN-000184,INV-00185,123075,Uttar Pradesh,Tier 3,46,25L+,SIP,8010,2022-09-16
TXN-000185,INV-00186,123198,West Bengal,Tier 1,43,12-25L,SIP,4074,2022-09-19
TXN-000186,INV-00187,123321,Telangana,Tier 2,62,12-25L,Redemption,33376,2022-09-20
TXN-000187,INV-00188,123444,Rajasthan,Tier 3,54,5-12L,SIP,32711,2022-09-21
TXN-000188,INV-00189,123567,Kerala,Tier 1,60,5-12L,Lumpsum,392076,2022-09-22
TXN-000189,INV-00190,123690,Punjab,Tier 2,22,25L+,SIP,30970,2022-09-23
TXN-000190,INV-00191,123813,Haryana,Tier 3,42,25L+,Lumpsum,447086,2022-09-26
TXN-000191,INV-00192,123936,Maharashtra,Tier 1,66,12-25L,Lumpsum,364406,2022-09-27
TXN-000192,INV-00193,124059,Karnataka,Tier 2,25,25L+,Redemption,19229,2022-09-28
TXN-000193,INV-00194,124182,Tamil Nadu,Tier 3,64,12-25L,Lumpsum,34213,2022-09-29
TXN-000194,INV-00195,124305,Delhi,Tier 1,58,25L+,SIP,38603,2022-09-30
TXN-000195,INV-00196,124428,Gujarat,Tier 2,23,12-25L,SIP,20002,2022-10-03
TXN-000196,INV-00197,124551,Uttar Pradesh,Tier 3,27,25L+,Lumpsum,137798,2022-10-04
TXN-000197,INV-00198,124674,West Bengal,Tier 1,61,12-25L,SIP,18824,2022-10-05
TXN-000198,INV-00199,124797,Telangana,Tier 2,32,12-25L,SIP,8581,2022-10-06
TXN-000199,INV-00200,124920,Rajasthan,Tier 3,31,25L+,SIP,18017,2022-10-07
TXN-000200,INV-00201,120123,Kerala,Tier 1,63,25L+,Lumpsum,443506,2022-10-10
TXN-000201,INV-00202,120246,Punjab,Tier 2,47,25L+,SIP,1917,2022-10-11
TXN-000202,INV-00203,120369,Haryana,Tier 3,37,5-12L,SIP,9790,2022-10-12
TXN-000203,INV-00204,120492,Maharashtra,Tier 1,24,12-25L,Lumpsum,38503,2022-10-13
TXN-000204,INV-00205,120615,Karnataka,Tier 2,45,5-12L,SIP,27567,2022-10-14
TXN-000205,INV-00206,120738,Tamil Nadu,Tier 3,48,5-12L,Lumpsum,130269,2022-10-17
TXN-000206,INV-00207,120861,Delhi,Tier 1,46,12-25L,SIP,37983,2022-10-18
TXN-000207,INV-00208,120984,Gujarat,Tier 2,52,25L+,SIP,49334,2022-10-19
TXN-000208,INV-00209,121107,Uttar Pradesh,Tier 3,66,12-25L,SIP,44141,2022-10-20
TXN-000209,INV-00210,121230,West Bengal,Tier 1,58,12-25L,SIP,22028,2022-10-21
TXN-000210,INV-00211,121353,Telangana,Tier 2,59,5-12L,SIP,34486,2022-10-24
TXN-000211,INV-00212,121476,Rajasthan,Tier 3,42,5-12L,SIP,22000,2022-10-25
TXN-000212,INV-00213,121599,Kerala,Tier 1,37,12-25L,Lumpsum,166560,2022-10-26
TXN-000213,INV-00214,121722,Punjab,Tier 2,26,25L+,SIP,15204,2022-10-27
TXN-000214,INV-00215,121845,Haryana,Tier 3,54,5-12L,SIP,21567,2022-10-28
TXN-000215,INV-00216,121968,Maharashtra,Tier 1,60,12-25L,SIP,3869,2022-10-31
TXN-000216,INV-00217,122091,Karnataka,Tier 2,55,25L+,SIP,49741,2022-11-01
TXN-000217,INV-00218,122214,Tamil Nadu,Tier 3,44,25L+,SIP,3352,2022-11-02
TXN-000218,INV-00219,122337,Delhi,Tier 1,24,25L+,Lumpsum,130629,2022-11-03
TXN-000219,INV-00220,122460,Gujarat,Tier 2,26,12-25L,SIP,3728,2022-11-04
TXN-000220,INV-00221,122583,Uttar Pradesh,Tier 3,27,25L+,SIP,9817,2022-11-07
TXN-000221,INV-00222,122706,West Bengal,Tier 1,55,25L+,SIP,45087,2022-11-08
TXN-000222,INV-00223,122829,Telangana,Tier 2,61,5-12L,SIP,35285,2022-11-09
TXN-000223,INV-00224,122952,Rajasthan,Tier 3,24,25L+,SIP,9376,2022-11-10
TXN-000224,INV-00225,123075,Kerala,Tier 1,48,12-25L,SIP,4152,2022-11-11
TXN-000225,INV-00226,123198,Punjab,Tier 2,50,12-25L,Redemption,14426,2022-11-14
TXN-000226,INV-00227,123321,Haryana,Tier 3,64,5-12L,SIP,46028,2022-11-15
TXN-000227,INV-00228,123444,Maharashtra,Tier 1,32,5-12L,Redemption,19282,2022-11-16
TXN-000228,INV-00229,123567,Karnataka,Tier 2,29,12-25L,SIP,14023,2022-11-17
TXN-000229,INV-00230,123690,Tamil Nadu,Tier 3,65,5-12L,SIP,42039,2022-11-18
TXN-000230,INV-00231,123813,Delhi,Tier 1,34,25L+,SIP,23008,2022-11-21
TXN-000231,INV-00232,123936,Gujarat,Tier 2,51,5-12L,SIP,31292,2022-11-22
TXN-000232,INV-00233,124059,Uttar Pradesh,Tier 3,31,25L+,SIP,9029,2022-11-23
TXN-000233,INV-00234,124182,West Bengal,Tier 1,43,5-12L,SIP,39462,2022-11-24
TXN-000234,INV-00235,124305,Telangana,Tier 2,22,25L+,Lumpsum,174507,2022-11-25
TXN-000235,INV-00236,124428,Rajasthan,Tier 3,27,25L+,SIP,33918,2022-11-28
TXN-000236,INV-00237,124551,Kerala,Tier 1,59,25L+,SIP,41150,2022-11-29
TXN-000237,INV-00238,124674,Punjab,Tier 2,47,25L+,SIP,5000,2022-11-30
TXN-000238,INV-00239,124797,Haryana,Tier 3,31,12-25L,SIP,13441,2022-12-01
TXN-000239,INV-00240,124920,Maharashtra,Tier 1,28,12-25L,SIP,22749,2022-12-02
TXN-000240,INV-00241,120123,Karnataka,Tier 2,22,5-12L,Redemption,15393,2022-12-05
TXN-000241,INV-00242,120246,Tamil Nadu,Tier 3,67,25L+,SIP,39095,2022-12-06
TXN-000242,INV-00243,120369,Delhi,Tier 1,31,12-25L,Lumpsum,68709,2022-12-07
TXN-000243,INV-00244,120492,Gujarat,Tier 2,50,12-25L,SIP,6092,2022-12-08
TXN-000244,INV-00245,120615,Uttar Pradesh,Tier 3,45,5-12L,Redemption,16230,2022-12-09
TXN-000245,INV-00246,120738,West Bengal,Tier 1,35,12-25L,SIP,8549,2022-12-12
TXN-000246,INV-00247,120861,Telangana,Tier 2,64,25L+,SIP,30875,2022-12-13
TXN-000247,INV-00248,120984,Rajasthan,Tier 3,45,25L+,Lumpsum,45074,2022-12-14
TXN-000248,INV-00249,121107,Kerala,Tier 1,57,5-12L,SIP,3577,2022-12-15
TXN-000249,INV-00250,121230,Punjab,Tier 2,32,25L+,Lumpsum,389072,2022-12-16
TXN-000250,INV-00251,121353,Haryana,Tier 3,42,5-12L,SIP,16940,2022-12-19
TXN-000251,INV-00252,121476,Maharashtra,Tier 1,35,12-25L,Lumpsum,176488,2022-12-20
TXN-000252,INV-00253,121599,Karnataka,Tier 2,37,25L+,SIP,15138,2022-12-21
TXN-000253,INV-00254,121722,Tamil Nadu,Tier 3,43,25L+,SIP,21630,2022-12-22
TXN-000254,INV-00255,121845,Delhi,Tier 1,27,25L+,Lumpsum,280303,2022-12-23
TXN-000255,INV-00256,121968,Gujarat,Tier 2,26,5-12L,Lumpsum,467878,2022-12-26
TXN-000256,INV-00257,122091,Uttar Pradesh,Tier 3,55,25L+,SIP,15698,2022-12-27
TXN-000257,INV-00258,122214,West Bengal,Tier 1,48,5-12L,SIP,36534,2022-12-28
TXN-000258,INV-00259,122337,Telangana,Tier 2,48,25L+,SIP,1227,2022-12-29
TXN-000259,INV-00260,122460,Rajasthan,Tier 3,28,5-12L,Redemption,13263,2022-12-30
TXN-000260,INV-00261,122583,Kerala,Tier 1,43,12-25L,SIP,12253,2023-01-02
TXN-000261,INV-00262,122706,Punjab,Tier 2,25,25L+,Redemption,40429,2023-01-03
TXN-000262,INV-00263,122829,Haryana,Tier 3,36,25L+,Lumpsum,218733,2023-01-04
TXN-000263,INV-00264,122952,Maharashtra,Tier 1,23,5-12L,SIP,14182,2023-01-05
TXN-000264,INV-00265,123075,Karnataka,Tier 2,32,5-12L,Lumpsum,168984,2023-01-06
TXN-000265,INV-00266,123198,Tamil Nadu,Tier 3,64,5-12L,SIP,44554,2023-01-09
TXN-000266,INV-00267,123321,Delhi,Tier 1,36,12-25L,SIP,12071,2023-01-10
TXN-000267,INV-00268,123444,Gujarat,Tier 2,28,5-12L,SIP,25067,2023-01-11
TXN-000268,INV-00269,123567,Uttar Pradesh,Tier 3,38,25L+,SIP,27534,2023-01-12
TXN-000269,INV-00270,123690,West Bengal,Tier 1,60,12-25L,SIP,9921,2023-01-13
TXN-000270,INV-00271,123813,Telangana,Tier 2,61,25L+,SIP,24789,2023-01-16
TXN-000271,INV-00272,123936,Rajasthan,Tier 3,27,25L+,Redemption,7366,2023-01-17
TXN-000272,INV-00273,124059,Kerala,Tier 1,43,12-25L,SIP,31094,2023-01-18
TXN-000273,INV-00274,124182,Punjab,Tier 2,58,25L+,SIP,11121,2023-01-19
TXN-000274,INV-00275,124305,Haryana,Tier 3,31,25L+,Redemption,43234,2023-01-20
TXN-000275,INV-00276,124428,Maharashtra,Tier 1,66,25L+,Redemption,3729,2023-01-23
TXN-000276,INV-00277,124551,Karnataka,Tier 2,30,5-12L,SIP,46659,2023-01-24
TXN-000277,INV-00278,124674,Tamil Nadu,Tier 3,64,25L+,Redemption,14340,2023-01-25
TXN-000278,INV-00279,124797,Delhi,Tier 1,47,25L+,SIP,6777,2023-01-26
TXN-000279,INV-00280,124920,Gujarat,Tier 2,40,5-12L,SIP,20431,2023-01-27
