scheme_code,scheme_name,stock_name,sector,weight_pct,market_val_cr
120984,UTI Multi Cap Direct Growth,Reliance Industries,Financial Services,6.9,740.71
120984,UTI Multi Cap Direct Growth,HDFC Bank,IT & Technology,6.23,798.72
120984,UTI Multi Cap Direct Growth,ICICI Bank,Oil & Gas,6.17,1041.44
120984,UTI Multi Cap Direct Growth,Infosys,Consumer Goods,6.17,300.05
120984,UTI Multi Cap Direct Growth,TCS,Telecommunication,4.65,1101.22
120984,UTI Multi Cap Direct Growth,Larsen & Toubro,Construction,7.46,336.43
120984,UTI Multi Cap Direct Growth,Bharti Airtel,Financial Services,6.15,811.89
120984,UTI Multi Cap Direct Growth,ITC,IT & Technology,6.44,1188.35
120984,UTI Multi Cap Direct Growth,Axis Bank,Oil & Gas,6.34,1125.03
120984,UTI Multi Cap Direct Growth,State Bank of India,Consumer Goods,8.48,777.84
121107,Mirae Asset Large Cap Direct Growth,Reliance Industries,Financial Services,5.52,1197.25
121107,Mirae Asset Large Cap Direct Growth,HDFC Bank,IT & Technology,3.61,1035.19
121107,Mirae Asset Large Cap Direct Growth,ICICI Bank,Oil & Gas,7.07,760.01
121107,Mirae Asset Large Cap Direct Growth,Infosys,Consumer Goods,9.46,481.09
121107,Mirae Asset Large Cap Direct Growth,TCS,Telecommunication,3.19,936.56
121107,Mirae Asset Large Cap Direct Growth,Larsen & Toubro,Construction,3.61,466.28
121107,Mirae Asset Large Cap Direct Growth,Bharti Airtel,Financial Services,9.49,530.77
121107,Mirae Asset Large Cap Direct Growth,ITC,IT & Technology,6.09,472.34
121107,Mirae Asset Large Cap Direct Growth,Axis Bank,Oil & Gas,9.25,435.01
121107,Mirae Asset Large Cap Direct Growth,State Bank of India,Consumer Goods,7.16,225.91
121230,DSP MF Mid Cap Direct Growth,Reliance Industries,Financial Services,3.36,177.78
121230,DSP MF Mid Cap Direct Growth,HDFC Bank,IT & Technology,8.74,225.17
121230,DSP MF Mid Cap Direct Growth,ICICI Bank,Oil & Gas,5.21,661.21
121230,DSP MF Mid Cap Direct Growth,Infosys,Consumer Goods,5.57,452.68
121230,DSP MF Mid Cap Direct Growth,TCS,Telecommunication,8.09,1119.18
121230,DSP MF Mid Cap Direct Growth,Larsen & Toubro,Construction,7.77,208.56
121230,DSP MF Mid Cap Direct Growth,Bharti Airtel,Financial Services,7.1,659.87
121230,DSP MF Mid Cap Direct Growth,ITC,IT & Technology,9.39,810.59
121230,DSP MF Mid Cap Direct Growth,Axis Bank,Oil & Gas,4.0,275.11
121230,DSP MF Mid Cap Direct Growth,State Bank of India,Consumer Goods,3.92,448.19
121353,SBI MF Small Cap Direct Growth,Reliance Industries,Financial Services,8.07,833.01
121353,SBI MF Small Cap Direct Growth,HDFC Bank,IT & Technology,6.53,838.35
121353,SBI MF Small Cap Direct Growth,ICICI Bank,Oil & Gas,8.18,293.32
121353,SBI MF Small Cap Direct Growth,Infosys,Consumer Goods,7.77,964.22
121353,SBI MF Small Cap Direct Growth,TCS,Telecommunication,9.27,1119.46
121353,SBI MF Small Cap Direct Growth,Larsen & Toubro,Construction,8.9,946.61
121353,SBI MF Small Cap Direct Growth,Bharti Airtel,Financial Services,3.96,909.89
121353,SBI MF Small Cap Direct Growth,ITC,IT & Technology,6.29,490.34
121353,SBI MF Small Cap Direct Growth,Axis Bank,Oil & Gas,4.83,805.56
121353,SBI MF Small Cap Direct Growth,State Bank of India,Consumer Goods,5.5,639.55
121476,HDFC MF ELSS Direct Growth,Reliance Industries,Financial Services,4.66,561.3
121476,HDFC MF ELSS Direct Growth,HDFC Bank,IT & Technology,6.08,600.99
121476,HDFC MF ELSS Direct Growth,ICICI Bank,Oil & Gas,4.38,312.09
121476,HDFC MF ELSS Direct Growth,Infosys,Consumer Goods,9.3,303.27
121476,HDFC MF ELSS Direct Growth,TCS,Telecommunication,3.94,1125.54
121476,HDFC MF ELSS Direct Growth,Larsen & Toubro,Construction,5.51,196.65
121476,HDFC MF ELSS Direct Growth,Bharti Airtel,Financial Services,5.76,896.3
121476,HDFC MF ELSS Direct Growth,ITC,IT & Technology,6.95,775.41
121476,HDFC MF ELSS Direct Growth,Axis Bank,Oil & Gas,9.49,599.26
121476,HDFC MF ELSS Direct Growth,State Bank of India,Consumer Goods,4.29,573.67
121599,ICICI Prudential Flexi Cap Direct Growth,Reliance Industries,Financial Services,7.87,736.79
121599,ICICI Prudential Flexi Cap Direct Growth,HDFC Bank,IT & Technology,6.19,577.6
121599,ICICI Prudential Flexi Cap Direct Growth,ICICI Bank,Oil & Gas,9.32,846.61
121599,ICICI Prudential Flexi Cap Direct Growth,Infosys,Consumer Goods,7.79,694.85
121599,ICICI Prudential Flexi Cap Direct Growth,TCS,Telecommunication,6.53,458.09
121599,ICICI Prudential Flexi Cap Direct Growth,Larsen & Toubro,Construction,4.43,922.16
121599,ICICI Prudential Flexi Cap Direct Growth,Bharti Airtel,Financial Services,3.38,1171.0
121599,ICICI Prudential Flexi Cap Direct Growth,ITC,IT & Technology,8.69,988.07
121599,ICICI Prudential Flexi Cap Direct Growth,Axis Bank,Oil & Gas,7.33,834.1
121599,ICICI Prudential Flexi Cap Direct Growth,State Bank of India,Consumer Goods,7.84,1110.91
121722,Nippon India Liquid Direct Growth,Reliance Industries,Financial Services,6.37,327.06
121722,Nippon India Liquid Direct Growth,HDFC Bank,IT & Technology,3.56,703.89
121722,Nippon India Liquid Direct Growth,ICICI Bank,Oil & Gas,7.23,1068.07
121722,Nippon India Liquid Direct Growth,Infosys,Consumer Goods,8.88,893.78
121722,Nippon India Liquid Direct Growth,TCS,Telecommunication,8.9,1109.34
121722,Nippon India Liquid Direct Growth,Larsen & Toubro,Construction,4.92,545.15
121722,Nippon India Liquid Direct Growth,Bharti Airtel,Financial Services,8.41,1186.99
121722,Nippon India Liquid Direct Growth,ITC,IT & Technology,3.86,1038.53
121722,Nippon India Liquid Direct Growth,Axis Bank,Oil & Gas,4.64,777.36
121722,Nippon India Liquid Direct Growth,State Bank of India,Consumer Goods,6.19,856.56
121845,Kotak Gilt Direct Growth,Reliance Industries,Financial Services,8.8,579.92
121845,Kotak Gilt Direct Growth,HDFC Bank,IT & Technology,7.71,719.37
121845,Kotak Gilt Direct Growth,ICICI Bank,Oil & Gas,6.49,1083.78
121845,Kotak Gilt Direct Growth,Infosys,Consumer Goods,8.15,547.53
121845,Kotak Gilt Direct Growth,TCS,Telecommunication,6.08,294.73
121845,Kotak Gilt Direct Growth,Larsen & Toubro,Construction,3.16,589.15
121845,Kotak Gilt Direct Growth,Bharti Airtel,Financial Services,6.42,716.96
121845,Kotak Gilt Direct Growth,ITC,IT & Technology,9.44,498.22
121845,Kotak Gilt Direct Growth,Axis Bank,Oil & Gas,6.67,697.35
121845,Kotak Gilt Direct Growth,State Bank of India,Consumer Goods,6.73,1023.2
121968,Axis Multi Cap Direct Growth,Reliance Industries,Financial Services,4.01,546.69
121968,Axis Multi Cap Direct Growth,HDFC Bank,IT & Technology,6.58,216.14
121968,Axis Multi Cap Direct Growth,ICICI Bank,Oil & Gas,5.28,550.56
121968,Axis Multi Cap Direct Growth,Infosys,Consumer Goods,3.96,1147.31
121968,Axis Multi Cap Direct Growth,TCS,Telecommunication,5.14,818.89
121968,Axis Multi Cap Direct Growth,Larsen & Toubro,Construction,8.92,649.76
121968,Axis Multi Cap Direct Growth,Bharti Airtel,Financial Services,3.6,639.75
121968,Axis Multi Cap Direct Growth,ITC,IT & Technology,4.65,891.05
121968,Axis Multi Cap Direct Growth,Axis Bank,Oil & Gas,5.48,1040.83
121968,Axis Multi Cap Direct Growth,State Bank of India,Consumer Goods,7.42,1105.75
